,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter25_cv_split2,0.48863636363636365,0.6931818181818182,0.7971428571428572,0.7,1,3,0,23,36,2,6,11,6,14,0,0,46,199,0,16,9,66
iter25_cv_split3,0.5227272727272727,0.6931818181818182,0.8,0.7,1,2,1,16,42,3,5,15,3,14,0,0,48,197,0,15,7,69
iter25_cv_split4,0.4827586206896552,0.7011494252873564,0.7948717948717948,0.698005698005698,0,3,0,23,36,2,5,12,6,15,0,0,46,198,1,17,8,66
iter25_cv_split5,0.47674418604651164,0.7093023255813954,0.8068181818181818,0.6960227272727273,1,2,0,20,37,4,11,8,3,15,0,0,48,196,1,11,8,73
iter26_cv_split1,0.47191011235955055,0.6966292134831461,0.7822349570200573,0.6991404011461319,1,3,0,24,34,4,5,11,7,14,0,0,50,193,1,16,9,66
iter26_cv_split2,0.5340909090909091,0.6931818181818182,0.8142857142857143,0.7,3,0,1,20,40,1,8,11,4,14,0,0,42,202,1,12,10,69
iter26_cv_split3,0.4772727272727273,0.6931818181818182,0.8142857142857143,0.7,0,4,0,22,36,3,6,11,6,14,0,0,41,202,2,14,8,69
iter26_cv_split4,0.5402298850574713,0.7011494252873564,0.8176638176638177,0.698005698005698,1,2,0,21,39,1,4,12,7,15,0,0,40,203,2,13,9,69
iter26_cv_split5,0.5,0.7093023255813954,0.8125,0.6960227272727273,0,3,0,21,38,2,3,14,5,15,0,0,43,201,1,16,6,70
iter27_cv_split1,0.550561797752809,0.6966292134831461,0.8166189111747851,0.6991404011461319,1,2,1,20,41,1,3,13,7,14,0,0,42,201,1,14,7,70
iter27_cv_split2,0.4431818181818182,0.6931818181818182,0.8085714285714286,0.7,0,4,0,21,35,5,6,13,4,14,0,0,45,200,0,15,7,69
iter27_cv_split3,0.4431818181818182,0.6931818181818182,0.8114285714285714,0.7,1,3,0,24,34,3,8,11,4,14,0,0,43,200,2,12,9,70
iter27_cv_split4,0.4942528735632184,0.7011494252873564,0.7948717948717948,0.698005698005698,0,3,0,22,39,0,9,10,4,15,0,0,50,194,1,12,9,70
iter27_cv_split5,0.47674418604651164,0.7093023255813954,0.8068181818181818,0.6960227272727273,1,2,0,24,35,2,5,12,5,15,0,0,41,204,0,20,7,65
iter28_cv_split1,0.6067415730337079,0.6966292134831461,0.8051575931232091,0.6991404011461319,0,3,1,14,47,1,6,10,7,14,0,0,44,200,0,14,10,67
