"selectedUser","currentDate","symbol","coinHoldingQty","coinHoldingValue"
"anbessa100","2017-04-30","pot",0,0
"anbessa100","2017-04-30","sphtx",0,0
"anbessa100","2017-05-01","nxt",30418.9356657762,876.339117595347
"anbessa100","2017-05-01","posw",0,0
"anbessa100","2017-05-01","mue",0,0
"anbessa100","2017-05-01","ark",0,0
"anbessa100","2017-05-01","etc",0,0
"anbessa100","2017-05-01","btc",0,0
"anbessa100","2017-05-01","sc",0,0
"anbessa100","2017-05-01","tkn",0,0
"anbessa100","2017-05-01","atms",0,0
"anbessa100","2017-05-01","neo",0,0
"anbessa100","2017-05-01","emd",0,0
"anbessa100","2017-05-01","netko",0,0
"anbessa100","2017-05-01","pivx",0,0
"anbessa100","2017-05-01","eqt",0,0
"anbessa100","2017-05-01","seq",0,0
"anbessa100","2017-05-01","ptoy",0,0
"anbessa100","2017-05-01","rain",0,0
"anbessa100","2017-05-01","strat",0,0
"anbessa100","2017-05-01","edg",0,0
"anbessa100","2017-05-01","xvg",0,0
"anbessa100","2017-05-01","mer",0,0
"anbessa100","2017-05-01","xby",0,0
"anbessa100","2017-05-01","insn",0,0
"anbessa100","2017-05-01","crea",0,0
"anbessa100","2017-05-01","zec",0,0
"anbessa100","2017-05-01","wings",0,0
"anbessa100","2017-05-01","lbc",0,0
"anbessa100","2017-05-01","qtum",0,0
"anbessa100","2017-05-01","xel",0,0
"anbessa100","2017-05-01","waves",0,0
"anbessa100","2017-05-01","ant",0,0
"anbessa100","2017-05-01","bay",0,0
"anbessa100","2017-05-01","dct",0,0
"anbessa100","2017-05-01","nmr",0,0
"anbessa100","2017-05-01","xcp",0,0
"anbessa100","2017-05-01","bitb",0,0
"anbessa100","2017-05-01","nxc",0,0
"anbessa100","2017-05-01","cfi",0,0
"anbessa100","2017-05-01","cvc",0,0
"anbessa100","2017-05-01","dgb",0,0
"anbessa100","2017-05-01","pay",0,0
"anbessa100","2017-05-01","qrl",0,0
"anbessa100","2017-05-01","steem",0,0
"anbessa100","2017-05-01","omg",0,0
"anbessa100","2017-05-01","msp",0,0
"anbessa100","2017-05-01","gbyte",0,0
"anbessa100","2017-05-01","sky",0,0
"anbessa100","2017-05-01","sngls",0,0
"anbessa100","2017-05-01","trst",0,0
"anbessa100","2017-05-01","tit",0,0
"anbessa100","2017-05-01","nebl",0,0
"anbessa100","2017-05-01","xzc",0,0
"anbessa100","2017-05-01","mtl",0,0
"anbessa100","2017-05-01","adx",0,0
"anbessa100","2017-05-01","powr",0,0
"anbessa100","2017-05-01","bch",0,0
"anbessa100","2017-05-01","qwark",0,0
"anbessa100","2017-05-01","orme",0,0
"anbessa100","2017-05-01","link",0,0
"anbessa100","2017-05-01","appc",0,0
"anbessa100","2017-05-01","brd",0,0
"anbessa100","2017-05-01","eth",0,0
"anbessa100","2017-05-01","ost",0,0
"anbessa100","2017-05-01","pot",0,0
"anbessa100","2017-05-01","sphtx",0,0
"anbessa100","2017-05-02","nxt",30418.9356657762,836.307798259185
"anbessa100","2017-05-02","posw",0,0
"anbessa100","2017-05-02","mue",0,0
"anbessa100","2017-05-02","ark",0,0
"anbessa100","2017-05-02","etc",0,0
"anbessa100","2017-05-02","btc",0,0
"anbessa100","2017-05-02","sc",0,0
"anbessa100","2017-05-02","tkn",0,0
"anbessa100","2017-05-02","atms",0,0
"anbessa100","2017-05-02","neo",0,0
"anbessa100","2017-05-02","emd",0,0
"anbessa100","2017-05-02","netko",0,0
"anbessa100","2017-05-02","pivx",0,0
"anbessa100","2017-05-02","eqt",0,0
"anbessa100","2017-05-02","seq",0,0
"anbessa100","2017-05-02","ptoy",0,0
"anbessa100","2017-05-02","rain",0,0
"anbessa100","2017-05-02","strat",0,0
"anbessa100","2017-05-02","edg",0,0
"anbessa100","2017-05-02","xvg",0,0
"anbessa100","2017-05-02","mer",0,0
"anbessa100","2017-05-02","xby",0,0
"anbessa100","2017-05-02","insn",0,0
"anbessa100","2017-05-02","crea",0,0
"anbessa100","2017-05-02","zec",0,0
"anbessa100","2017-05-02","wings",0,0
"anbessa100","2017-05-02","lbc",0,0
"anbessa100","2017-05-02","qtum",0,0
"anbessa100","2017-05-02","xel",0,0
"anbessa100","2017-05-02","waves",0,0
"anbessa100","2017-05-02","ant",0,0
"anbessa100","2017-05-02","bay",0,0
"anbessa100","2017-05-02","dct",0,0
"anbessa100","2017-05-02","nmr",0,0
"anbessa100","2017-05-02","xcp",0,0
"anbessa100","2017-05-02","bitb",0,0
"anbessa100","2017-05-02","nxc",0,0
"anbessa100","2017-05-02","cfi",0,0
"anbessa100","2017-05-02","cvc",0,0
"anbessa100","2017-05-02","dgb",0,0
"anbessa100","2017-05-02","pay",0,0
