,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter70_cv_split2,0.6336633663366337,0.5742574257425742,0.7989949748743719,0.5753768844221105,1,2,3,11,40,7,3,11,23,20,0,2,25,189,15,16,22,109
iter70_cv_split3,0.61,0.57,0.8245614035087719,0.5764411027568922,2,3,1,10,36,11,6,8,23,20,0,2,17,198,15,19,17,111
iter70_cv_split4,0.5757575757575758,0.5757575757575758,0.8025,0.575,1,2,2,10,38,9,8,11,18,21,0,2,22,190,18,20,17,110
iter70_cv_split5,0.6122448979591837,0.5816326530612245,0.8104738154613467,0.57356608478803,3,1,1,10,39,8,8,10,18,22,0,1,23,187,20,20,12,116
iter71_cv_split1,0.5742574257425742,0.5742574257425742,0.8190954773869347,0.5753768844221105,3,1,2,14,34,10,8,8,21,21,0,1,24,190,15,16,16,115
iter71_cv_split2,0.5148514851485149,0.5742574257425742,0.8015075376884422,0.5753768844221105,1,3,2,20,32,6,1,17,19,20,0,2,22,191,16,22,17,108
iter71_cv_split3,0.6,0.57,0.8095238095238095,0.5764411027568922,2,2,2,13,37,7,6,10,21,20,0,2,19,192,19,18,18,111
iter71_cv_split4,0.5959595959595959,0.5757575757575758,0.8175,0.575,0,1,4,11,38,8,6,10,21,22,0,1,18,192,20,17,17,113
iter71_cv_split5,0.5612244897959183,0.5816326530612245,0.8054862842892768,0.57356608478803,1,2,2,11,36,10,8,10,18,21,0,2,21,194,15,20,20,108
iter72_cv_split1,0.6336633663366337,0.5742574257425742,0.8065326633165829,0.5753768844221105,2,3,1,12,43,3,5,13,19,19,0,3,18,192,19,15,22,110
iter72_cv_split2,0.594059405940594,0.5742574257425742,0.8140703517587939,0.5753768844221105,0,2,4,14,37,7,6,8,23,22,0,0,22,188,19,18,15,114
iter72_cv_split3,0.55,0.57,0.8045112781954887,0.5764411027568922,2,2,2,16,35,6,8,11,18,21,0,1,21,189,20,23,13,111
iter72_cv_split4,0.494949494949495,0.5757575757575758,0.8225,0.575,1,3,1,10,32,15,7,14,16,21,0,2,20,196,14,19,16,112
iter72_cv_split5,0.6428571428571429,0.5816326530612245,0.8154613466334164,0.57356608478803,2,2,1,12,37,8,4,8,24,20,0,3,17,194,19,21,14,113
iter73_cv_split1,0.6336633663366337,0.5742574257425742,0.8065326633165829,0.5753768844221105,0,3,3,10,41,7,5,9,23,20,0,2,20,192,17,19,19,109
iter73_cv_split2,0.5841584158415841,0.5742574257425742,0.8266331658291457,0.5753768844221105,4,1,1,14,34,10,6,10,21,20,0,2,20,194,15,17,15,115
iter73_cv_split3,0.63,0.57,0.8045112781954887,0.5764411027568922,2,2,2,14,37,6,7,6,24,21,0,1,25,189,16,18,18,111
iter73_cv_split4,0.5454545454545454,0.5757575757575758,0.8175,0.575,2,0,3,13,38,6,5,18,14,21,0,2,22,191,17,16,16,115
iter73_cv_split5,0.6326530612244898,0.5816326530612245,0.8029925187032418,0.57356608478803,1,2,2,6,41,10,7,9,20,21,0,2,23,190,17,18,19,111
iter74_cv_split1,0.5742574257425742,0.5742574257425742,0.8165829145728644,0.5753768844221105,1,4,1,10,41,7,8,13,16,20,0,2,24,187,18,15,14,118
iter74_cv_split2,0.6534653465346535,0.5742574257425742,0.8040201005025126,0.5753768844221105,2,2,2,11,41,6,4,10,23,21,0,1,21,191,17,19,20,108
iter74_cv_split3,0.52,0.57,0.8245614035087719,0.5764411027568922,1,2,3,13,34,10,4,16,17,21,0,1,20,194,16,19,14,114
iter74_cv_split4,0.5656565656565656,0.5757575757575758,0.815,0.575,2,1,2,15,33,9,6,10,21,21,0,2,17,197,16,19,20,108
iter74_cv_split5,0.6428571428571429,0.5816326530612245,0.8054862842892768,0.57356608478803,3,2,0,10,41,6,7,10,19,21,0,2,20,193,17,21,18,109
iter75_cv_split1,0.5148514851485149,0.5742574257425742,0.8140703517587939,0.5753768844221105,1,3,2,15,33,10,9,10,18,20,0,2,18,193,18,17,19,111
iter75_cv_split2,0.594059405940594,0.5742574257425742,0.8040201005025126,0.5753768844221105,1,4,1,8,40,10,6,12,19,20,0,2,20,188,21,19,16,112
iter75_cv_split3,0.69,0.57,0.7994987468671679,0.5764411027568922,2,1,3,10,42,5,2,10,25,22,0,0,26,186,18,19,17,111
iter75_cv_split4,0.5858585858585859,0.5757575757575758,0.8175,0.575,1,2,2,10,39,8,5,14,18,21,0,2,22,192,16,19,14,114
iter75_cv_split5,0.5714285714285714,0.5816326530612245,0.8154613466334164,0.57356608478803,3,0,2,13,35,9,7,11,18,21,0,2,19,196,15,18,20,110
iter76_cv_split1,0.594059405940594,0.5742574257425742,0.7989949748743719,0.5753768844221105,1,3,2,10,41,7,6,13,18,20,0,2,23,190,16,17,22,108
iter76_cv_split2,0.6138613861386139,0.5742574257425742,0.8291457286432161,0.5753768844221105,3,0,3,9,40,9,5,13,19,21,0,1,17,197,15,18,17,112
iter76_cv_split3,0.6,0.57,0.8195488721804511,0.5764411027568922,2,2,2,12,40,5,6,13,18,19,0,3,19,193,18,15,17,115
iter76_cv_split4,0.6060606060606061,0.5757575757575758,0.815,0.575,2,1,2,13,36,8,5,10,22,22,0,1,20,192,18,20,15,112
iter76_cv_split5,0.6530612244897959,0.5816326530612245,0.8079800498753117,0.57356608478803,3,1,1,8,43,6,9,9,18,21,0,2,22,191,17,17,19,112
iter77_cv_split1,0.6435643564356436,0.5742574257425742,0.8090452261306532,0.5753768844221105,3,1,2,12,36,10,4,7,26,21,0,1,17,195,17,21,20,106
iter77_cv_split2,0.5247524752475248,0.5742574257425742,0.821608040201005,0.5753768844221105,1,2,3,14,33,11,5,13,19,20,0,2,23,190,16,13,17,117
iter77_cv_split3,0.6,0.57,0.8195488721804511,0.5764411027568922,2,1,3,11,38,8,7,10,20,20,0,2,21,192,17,19,13,115
iter77_cv_split4,0.5656565656565656,0.5757575757575758,0.8075,0.575,1,2,2,12,38,7,6,14,17,21,0,2,23,191,16,20,16,111
iter77_cv_split5,0.6020408163265306,0.5816326530612245,0.8129675810473815,0.57356608478803,2,2,1,12,40,5,7,12,17,22,0,1,21,191,18,16,19,113
iter78_cv_split1,0.6138613861386139,0.5742574257425742,0.8040201005025126,0.5753768844221105,2,1,3,11,40,7,10,7,20,21,0,1,21,188,20,15,21,111
iter78_cv_split2,0.6138613861386139,0.5742574257425742,0.8065326633165829,0.5753768844221105,2,1,3,10,39,9,2,14,21,20,0,2,23,188,18,19,15,113
iter78_cv_split3,0.64,0.57,0.8345864661654135,0.5764411027568922,2,2,2,10,39,8,4,10,23,20,0,2,16,199,15,22,11,114
iter78_cv_split4,0.5656565656565656,0.5757575757575758,0.815,0.575,2,1,2,13,34,10,6,11,20,21,0,2,21,193,16,16,19,112
iter78_cv_split5,0.5408163265306123,0.5816326530612245,0.8154613466334164,0.57356608478803,2,2,1,17,34,6,5,14,17,21,0,2,20,193,17,16,19,113
iter79_cv_split1,0.6336633663366337,0.5742574257425742,0.8140703517587939,0.5753768844221105,3,0,3,11,41,6,3,14,20,20,0,2,20,192,17,20,15,112
iter79_cv_split2,0.7128712871287128,0.5742574257425742,0.8015075376884422,0.5753768844221105,3,2,1,12,44,2,4,8,25,21,0,1,25,188,16,20,17,110
iter79_cv_split3,0.53,0.57,0.8320802005012531,0.5764411027568922,1,4,1,12,35,10,9,11,17,21,0,1,19,198,13,15,19,113
iter79_cv_split4,0.6464646464646465,0.5757575757575758,0.8075,0.575,0,1,4,9,39,9,2,10,25,22,0,1,21,191,18,18,19,110
iter79_cv_split5,0.5510204081632653,0.5816326530612245,0.8079800498753117,0.57356608478803,3,1,1,12,37,8,12,10,14,21,0,2,19,193,18,19,19,110
iter80_cv_split1,0.6435643564356436,0.5742574257425742,0.7989949748743719,0.5753768844221105,4,1,1,11,40,7,4,12,21,20,0,2,25,188,16,21,16,110
