,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter40_cv_split1,0.6900584795321637,0.6374269005847953,0.908957415565345,0.6372980910425844,21,14,0,10,88,11,3,15,9,136,7,0,11,421,2,6,36,62
iter40_cv_split2,0.5847953216374269,0.6374269005847953,0.9060205580029369,0.6372980910425844,7,22,7,12,88,9,2,19,5,136,6,0,12,415,7,5,34,66
iter40_cv_split3,0.672514619883041,0.6374269005847953,0.9104258443465492,0.6372980910425844,11,25,0,6,98,5,3,17,6,135,7,0,10,419,5,3,36,66
iter40_cv_split4,0.7192982456140351,0.6374269005847953,0.869309838472834,0.6372980910425844,13,23,0,2,101,6,1,16,9,124,18,0,18,407,9,6,38,61
iter40_cv_split5,0.6011904761904762,0.6369047619047619,0.9093567251461988,0.6374269005847953,11,24,0,10,83,14,1,18,7,139,4,0,11,421,4,6,37,62
iter41_cv_split1,0.6257309941520468,0.6374269005847953,0.9295154185022027,0.6372980910425844,9,26,0,5,92,12,1,20,6,143,0,0,7,420,7,3,31,70
iter41_cv_split2,0.7309941520467836,0.6374269005847953,0.9001468428781204,0.6372980910425844,24,4,8,5,92,12,2,15,9,135,7,0,11,421,2,4,44,57
iter41_cv_split3,0.5730994152046783,0.6374269005847953,0.9162995594713657,0.6372980910425844,7,29,0,14,88,7,2,21,3,142,0,0,15,416,3,4,35,66
iter41_cv_split4,0.5263157894736842,0.6374269005847953,0.922173274596182,0.6372980910425844,0,28,8,2,85,22,5,16,5,142,0,0,8,422,4,4,37,64
iter41_cv_split5,0.6845238095238095,0.6369047619047619,0.8932748538011696,0.6374269005847953,18,17,0,1,91,15,0,20,6,131,12,0,8,423,5,5,43,57
