,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter23_cv_split1,0.5913978494623656,0.6451612903225806,0.9644808743169399,0.6475409836065574,0,43,0,7,103,10,0,16,7,167,0,0,3,466,5,1,17,73
iter23_cv_split2,0.6065573770491803,0.644808743169399,0.9523809523809523,0.6476190476190476,0,34,8,6,105,7,2,15,6,168,0,0,7,456,13,0,15,76
iter23_cv_split3,0.5300546448087432,0.644808743169399,0.9564625850340136,0.6476190476190476,0,42,0,14,91,13,0,17,6,168,0,0,11,454,11,1,9,81
iter23_cv_split4,0.46994535519125685,0.6502732240437158,0.9755102040816327,0.6462585034013606,0,28,13,22,79,18,1,15,7,169,0,0,4,468,3,1,10,80
iter23_cv_split5,0.6338797814207651,0.6502732240437158,0.9673469387755103,0.6462585034013606,0,42,0,2,110,7,0,16,6,168,0,0,5,462,8,1,10,81
iter24_cv_split1,0.6451612903225806,0.6451612903225806,0.9658469945355191,0.6475409836065574,11,21,11,0,102,18,2,14,7,167,0,0,8,461,5,0,12,79
iter24_cv_split2,0.5245901639344263,0.644808743169399,0.963265306122449,0.6476190476190476,0,42,0,11,88,19,1,14,8,168,0,0,4,463,9,1,13,77
iter24_cv_split3,0.6065573770491803,0.644808743169399,0.9659863945578231,0.6476190476190476,13,18,11,19,91,8,0,16,7,168,0,0,3,465,8,1,13,77
iter24_cv_split4,0.5519125683060109,0.6502732240437158,0.9687074829931973,0.6462585034013606,0,41,0,17,93,9,1,14,8,169,0,0,5,462,8,1,9,81
iter24_cv_split5,0.5792349726775956,0.6502732240437158,0.9659863945578231,0.6462585034013606,0,42,0,14,98,7,0,14,8,168,0,0,5,466,4,1,15,76
iter25_cv_split1,0.5860215053763441,0.6451612903225806,0.9590163934426229,0.6475409836065574,0,33,10,11,102,7,0,16,7,167,0,0,7,458,9,1,13,77
iter25_cv_split2,0.5737704918032787,0.644808743169399,0.964625850340136,0.6476190476190476,12,30,0,7,89,22,2,17,4,168,0,0,6,461,9,0,11,80
iter25_cv_split3,0.5846994535519126,0.644808743169399,0.9727891156462585,0.6476190476190476,0,28,14,16,99,3,0,15,8,168,0,0,2,472,2,1,15,75
iter25_cv_split4,0.6939890710382514,0.6502732240437158,0.9619047619047619,0.6462585034013606,17,24,0,11,98,10,2,9,12,169,0,0,8,461,6,1,13,77
iter25_cv_split5,0.5081967213114754,0.6502732240437158,0.9619047619047619,0.6462585034013606,0,42,0,26,82,11,1,10,11,168,0,0,8,462,5,1,14,77
iter26_cv_split1,0.6451612903225806,0.6451612903225806,0.9685792349726776,0.6475409836065574,10,33,0,11,103,6,1,15,7,167,0,0,3,465,6,0,14,77
iter26_cv_split2,0.5355191256830601,0.644808743169399,0.9741496598639455,0.6476190476190476,0,42,0,11,89,18,0,14,9,168,0,0,4,470,2,0,13,78
iter26_cv_split3,0.5519125683060109,0.644808743169399,0.9687074829931973,0.6476190476190476,0,42,0,3,95,20,0,17,6,168,0,0,5,469,2,1,15,75
iter26_cv_split4,0.5628415300546448,0.6502732240437158,0.9619047619047619,0.6462585034013606,0,28,13,16,92,11,0,12,11,169,0,0,6,461,8,1,13,77
iter26_cv_split5,0.6557377049180327,0.6502732240437158,0.9687074829931973,0.6462585034013606,13,29,0,9,98,12,0,13,9,168,0,0,3,467,5,1,14,77
iter27_cv_split1,0.5913978494623656,0.6451612903225806,0.9713114754098361,0.6475409836065574,0,43,0,4,105,11,0,18,5,167,0,0,2,466,6,1,12,78
iter27_cv_split2,0.6338797814207651,0.644808743169399,0.9714285714285714,0.6476190476190476,0,31,11,2,104,12,0,11,12,168,0,0,2,468,6,0,13,78
iter27_cv_split3,0.5683060109289617,0.644808743169399,0.9714285714285714,0.6476190476190476,0,33,9,10,97,11,2,14,7,168,0,0,4,464,8,0,9,82
iter27_cv_split4,0.5355191256830601,0.6502732240437158,0.964625850340136,0.6462585034013606,0,41,0,18,89,12,0,14,9,169,0,0,4,463,8,1,13,77
iter27_cv_split5,0.5519125683060109,0.6502732240437158,0.9659863945578231,0.6462585034013606,0,42,0,13,93,13,0,14,8,168,0,0,4,465,6,1,14,77
iter28_cv_split1,0.521505376344086,0.6451612903225806,0.9617486338797814,0.6475409836065574,0,43,0,14,90,16,0,16,7,167,0,0,5,461,8,1,14,76
iter28_cv_split2,0.5901639344262295,0.644808743169399,0.9591836734693877,0.6476190476190476,0,30,12,10,100,8,1,14,8,168,0,0,7,459,10,0,13,78
iter28_cv_split3,0.5027322404371585,0.644808743169399,0.963265306122449,0.6476190476190476,0,29,13,12,82,24,0,13,10,168,0,0,10,463,3,1,13,77
iter28_cv_split4,0.639344262295082,0.6502732240437158,0.9714285714285714,0.6462585034013606,0,25,16,8,108,3,1,13,9,169,0,0,6,465,4,0,11,80
iter28_cv_split5,0.5901639344262295,0.6502732240437158,0.9673469387755103,0.6462585034013606,10,32,0,12,91,16,0,15,7,168,0,0,9,464,2,0,13,79
iter29_cv_split1,0.5752688172043011,0.6451612903225806,0.9631147540983607,0.6475409836065574,0,43,0,11,101,8,0,17,6,167,0,0,5,458,11,1,10,80
iter29_cv_split2,0.4972677595628415,0.644808743169399,0.9673469387755103,0.6476190476190476,0,35,7,16,84,18,0,16,7,168,0,0,5,465,6,0,13,78
