,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter56_cv_split5,0.6666666666666666,0.6502732240437158,0.998639455782313,0.6462585034013606,0,42,0,0,115,4,0,15,7,168,0,0,0,475,0,0,1,91
iter57_cv_split1,0.6129032258064516,0.6451612903225806,0.9986338797814208,0.6475409836065574,0,43,0,0,105,15,0,14,9,167,0,0,0,474,0,0,1,90
iter57_cv_split2,0.5519125683060109,0.644808743169399,0.9972789115646259,0.6476190476190476,0,42,0,0,92,26,0,14,9,168,0,0,0,476,0,0,2,89
iter57_cv_split3,0.5628415300546448,0.644808743169399,0.998639455782313,0.6476190476190476,0,35,7,0,97,21,0,17,6,168,0,0,0,476,0,0,1,90
iter57_cv_split4,0.6502732240437158,0.6502732240437158,0.9972789115646259,0.6462585034013606,0,41,0,0,113,6,0,17,6,169,0,0,0,475,0,0,2,89
iter57_cv_split5,0.5573770491803278,0.6502732240437158,0.9972789115646259,0.6462585034013606,0,42,0,0,97,22,0,17,5,168,0,0,0,475,0,0,2,90
iter58_cv_split1,0.553763440860215,0.6451612903225806,0.9986338797814208,0.6475409836065574,0,43,0,0,94,26,0,14,9,167,0,0,0,474,0,0,1,90
iter58_cv_split2,0.6338797814207651,0.644808743169399,0.9972789115646259,0.6476190476190476,0,26,16,0,107,11,0,14,9,168,0,0,0,476,0,0,2,89
iter58_cv_split3,0.6120218579234973,0.644808743169399,0.998639455782313,0.6476190476190476,0,33,9,0,103,15,0,14,9,168,0,0,0,476,0,0,1,90
iter58_cv_split4,0.5792349726775956,0.6502732240437158,0.998639455782313,0.6462585034013606,0,30,11,0,101,18,0,18,5,169,0,0,0,475,0,0,1,90
iter58_cv_split5,0.5792349726775956,0.6502732240437158,0.9972789115646259,0.6462585034013606,0,42,0,3,105,11,0,21,1,168,0,0,0,475,0,0,2,90
iter59_cv_split1,0.5752688172043011,0.6451612903225806,0.9972677595628415,0.6475409836065574,0,29,14,0,100,20,0,16,7,167,0,0,0,474,0,0,2,89
iter59_cv_split2,0.6120218579234973,0.644808743169399,0.9972789115646259,0.6476190476190476,0,42,0,0,103,15,0,14,9,168,0,0,0,476,0,0,2,89
