,full_test_accs,full_test_aucs,full_test_fns,full_test_fps,full_test_null_accs,full_test_tns,full_test_tps,full_train_accs,full_train_aucs,full_train_fns,full_train_fps,full_train_null_accs,full_train_tns,full_train_tps
iter31_cv_split1,0.9444444444444444,0.9945130315500686,3,0,0.5,27,24,0.9903846153846154,0.9992603550295858,2,0,0.5,104,102
iter31_cv_split2,0.9615384615384616,0.992603550295858,2,0,0.5,26,24,0.9952380952380953,0.999546485260771,1,0,0.5,105,104
iter31_cv_split3,0.9807692307692307,0.9985207100591716,1,0,0.5,26,25,0.9904761904761905,0.9989115646258503,2,0,0.5,105,103
iter31_cv_split4,0.9230769230769231,0.9644970414201184,4,0,0.5,26,22,0.9952380952380953,0.9995464852607711,1,0,0.5,105,104
iter31_cv_split5,0.9615384615384616,1.0,2,0,0.5,26,24,0.9904761904761905,0.9989115646258503,2,0,0.5,105,103
iter32_cv_split1,1.0,1.0,0,0,0.5,27,27,0.9903846153846154,0.9987056213017752,2,0,0.5,104,102
iter32_cv_split2,0.9230769230769231,0.9955621301775148,4,0,0.5,26,22,0.9904761904761905,0.9989115646258504,2,0,0.5,105,103
iter32_cv_split3,0.9038461538461539,0.992603550295858,5,0,0.5,26,21,0.9952380952380953,0.9995464852607711,1,0,0.5,105,104
iter32_cv_split4,0.9423076923076923,0.96301775147929,3,0,0.5,26,23,0.9952380952380953,0.9994557823129251,1,0,0.5,105,104
iter32_cv_split5,0.9615384615384616,0.9970414201183432,2,0,0.5,26,24,0.9904761904761905,0.999092970521542,2,0,0.5,105,103
iter33_cv_split1,0.9629629629629629,0.9972565157750343,2,0,0.5,27,25,0.9903846153846154,0.9990754437869822,2,0,0.5,104,102
iter33_cv_split2,0.9230769230769231,0.9363905325443788,4,0,0.5,26,22,1.0,1.0,0,0,0.5,105,105
iter33_cv_split3,0.9807692307692307,1.0,1,0,0.5,26,25,0.9904761904761905,0.9992743764172335,2,0,0.5,105,103
iter33_cv_split4,0.9423076923076923,0.9985207100591715,3,0,0.5,26,23,0.9904761904761905,0.999546485260771,2,0,0.5,105,103
iter33_cv_split5,0.9807692307692307,1.0,1,0,0.5,26,25,0.9904761904761905,0.9992743764172336,2,0,0.5,105,103
iter34_cv_split1,1.0,1.0,0,0,0.5,27,27,0.9903846153846154,0.9988905325443787,2,0,0.5,104,102
iter34_cv_split2,0.9615384615384616,0.9985207100591716,2,0,0.5,26,24,0.9904761904761905,0.9990929705215419,2,0,0.5,105,103
iter34_cv_split3,0.9038461538461539,0.9866863905325444,2,3,0.5,23,24,0.9761904761904762,0.9994557823129252,2,3,0.5,102,103
iter34_cv_split4,0.9230769230769231,0.992603550295858,4,0,0.5,26,22,0.9952380952380953,0.9994557823129251,1,0,0.5,105,104
iter34_cv_split5,0.9423076923076923,0.9630177514792899,3,0,0.5,26,23,0.9952380952380953,0.9991836734693877,1,0,0.5,105,104
iter35_cv_split1,0.9259259259259259,0.9698216735253772,4,0,0.5,27,23,0.9951923076923077,0.9994452662721893,1,0,0.5,104,103
iter35_cv_split2,1.0,1.0,0,0,0.5,26,26,0.9904761904761905,1.0,2,0,0.5,105,103
iter35_cv_split3,0.9615384615384616,0.9940828402366864,2,0,0.5,26,24,0.9904761904761905,0.9990929705215419,2,0,0.5,105,103
iter35_cv_split4,0.9615384615384616,0.9985207100591715,2,0,0.5,26,24,0.9904761904761905,0.999092970521542,2,0,0.5,105,103
iter35_cv_split5,0.9615384615384616,0.9748520710059172,2,0,0.5,26,24,0.9952380952380953,0.9996371882086168,1,0,0.5,105,104
iter36_cv_split1,0.9814814814814815,1.0,1,0,0.5,27,26,0.9903846153846154,0.9995377218934912,2,0,0.5,104,102
iter36_cv_split2,1.0,1.0,0,0,0.5,26,26,0.9904761904761905,0.9987301587301587,2,0,0.5,105,103
iter36_cv_split3,0.9423076923076923,0.9940828402366864,3,0,0.5,26,23,0.9904761904761905,0.9992743764172335,2,0,0.5,105,103
iter36_cv_split4,0.9230769230769231,0.9822485207100592,4,0,0.5,26,22,0.9904761904761905,0.9990929705215419,2,0,0.5,105,103
iter36_cv_split5,0.9423076923076923,0.9363905325443788,3,0,0.5,26,23,1.0,1.0,0,0,0.5,105,105
iter37_cv_split1,1.0,1.0,0,0,0.5,27,27,0.9903846153846154,0.9990754437869822,2,0,0.5,104,102
iter37_cv_split2,0.9615384615384616,1.0,2,0,0.5,26,24,0.9904761904761905,1.0,2,0,0.5,105,103
iter37_cv_split3,0.9230769230769231,0.9659763313609467,1,3,0.5,23,25,0.9809523809523809,0.9994557823129252,1,3,0.5,102,104
iter37_cv_split4,0.9038461538461539,0.9896449704142012,5,0,0.5,26,21,0.9952380952380953,0.9993650793650793,1,0,0.5,105,104
iter37_cv_split5,0.9230769230769231,0.9866863905325445,4,0,0.5,26,22,0.9904761904761905,0.9990929705215419,2,0,0.5,105,103
iter38_cv_split1,0.9074074074074074,0.9945130315500685,1,4,0.5,23,26,0.9855769230769231,0.9990754437869822,2,1,0.5,103,102
iter38_cv_split2,0.9423076923076923,0.9822485207100592,3,0,0.5,26,23,0.9952380952380953,0.9995464852607711,1,0,0.5,105,104
iter38_cv_split3,0.9615384615384616,0.9985207100591716,2,0,0.5,26,24,0.9904761904761905,1.0,2,0,0.5,105,103
iter38_cv_split4,0.9807692307692307,0.96301775147929,1,0,0.5,26,25,0.9952380952380953,0.9991836734693877,1,0,0.5,105,104
iter38_cv_split5,0.9423076923076923,0.992603550295858,3,0,0.5,26,23,0.9904761904761905,1.0,2,0,0.5,105,103
iter39_cv_split1,1.0,1.0,0,0,0.5,27,27,0.9903846153846154,0.9994452662721894,2,0,0.5,104,102
iter39_cv_split2,0.9423076923076923,0.9970414201183432,3,0,0.5,26,23,0.9904761904761905,0.9992743764172336,2,0,0.5,105,103
iter39_cv_split3,0.8653846153846154,0.9275147928994083,4,3,0.5,23,22,0.9857142857142858,1.0,0,3,0.5,102,105
iter39_cv_split4,0.9615384615384616,0.9748520710059172,2,0,0.5,26,24,0.9904761904761905,0.9999092970521541,2,0,0.5,105,103
iter39_cv_split5,0.9615384615384616,0.9985207100591716,2,0,0.5,26,24,0.9904761904761905,0.9990022675736961,2,0,0.5,105,103
iter40_cv_split1,0.9629629629629629,1.0,2,0,0.5,27,25,0.9903846153846154,0.9990754437869822,2,0,0.5,104,102
iter40_cv_split2,0.9038461538461539,0.9881656804733727,1,4,0.5,22,25,0.9809523809523809,0.9994557823129251,2,2,0.5,103,103
iter40_cv_split3,0.9230769230769231,0.9245562130177516,4,0,0.5,26,22,1.0,1.0,0,0,0.5,105,105
iter40_cv_split4,0.9423076923076923,1.0,3,0,0.5,26,23,0.9904761904761905,0.9990929705215419,2,0,0.5,105,103
iter40_cv_split5,0.9423076923076923,0.992603550295858,3,0,0.5,26,23,0.9904761904761905,1.0,2,0,0.5,105,103
iter41_cv_split1,0.9444444444444444,0.9849108367626885,3,0,0.5,27,24,0.9951923076923077,0.9994452662721894,1,0,0.5,104,103
iter41_cv_split2,0.9423076923076923,0.992603550295858,3,0,0.5,26,23,0.9904761904761905,0.999092970521542,2,0,0.5,105,103
iter41_cv_split3,0.9230769230769231,0.9378698224852071,1,3,0.5,23,25,0.9904761904761905,0.999092970521542,2,0,0.5,105,103
iter41_cv_split4,0.9807692307692307,0.9659763313609466,1,0,0.5,26,25,0.9952380952380953,0.9989115646258504,1,0,0.5,105,104
iter41_cv_split5,0.9230769230769231,0.9970414201183432,4,0,0.5,26,22,0.9904761904761905,0.9990929705215419,2,0,0.5,105,103
iter42_cv_split1,0.9629629629629629,0.9958847736625515,2,0,0.5,27,25,0.9903846153846154,0.9993528106508875,2,0,0.5,104,102
iter42_cv_split2,0.9423076923076923,0.9940828402366864,3,0,0.5,26,23,0.9904761904761905,0.9992743764172336,2,0,0.5,105,103
iter42_cv_split3,0.9807692307692307,1.0,1,0,0.5,26,25,0.9904761904761905,0.9992743764172336,2,0,0.5,105,103
iter42_cv_split4,0.9807692307692307,1.0,1,0,0.5,26,25,0.9904761904761905,0.9990022675736961,2,0,0.5,105,103
iter42_cv_split5,0.9038461538461539,0.9363905325443788,5,0,0.5,26,21,1.0,1.0,0,0,0.5,105,105
iter43_cv_split1,0.9629629629629629,0.9958847736625515,2,0,0.5,27,25,0.9903846153846154,0.9994452662721894,2,0,0.5,104,102
iter43_cv_split2,0.9615384615384616,0.9896449704142012,2,0,0.5,26,24,0.9904761904761905,0.9998185941043084,2,0,0.5,105,103
iter43_cv_split3,0.9423076923076923,0.9911242603550297,3,0,0.5,26,23,0.9904761904761905,0.9990929705215419,2,0,0.5,105,103
iter43_cv_split4,0.9423076923076923,0.9674556213017752,3,0,0.5,26,23,0.9952380952380953,0.9993650793650795,1,0,0.5,105,104
iter43_cv_split5,0.9615384615384616,0.9852071005917159,2,0,0.5,26,24,0.9952380952380953,0.9992743764172335,1,0,0.5,105,104
iter44_cv_split1,0.9629629629629629,1.0,2,0,0.5,27,25,0.9903846153846154,0.9988905325443787,2,0,0.5,104,102
iter44_cv_split2,0.9423076923076923,1.0,3,0,0.5,26,23,0.9904761904761905,0.9992743764172336,2,0,0.5,105,103
iter44_cv_split3,0.9615384615384616,0.96301775147929,2,0,0.5,26,24,0.9952380952380953,0.9993650793650792,1,0,0.5,105,104
iter44_cv_split4,0.9615384615384616,0.9778106508875739,2,0,0.5,26,24,0.9952380952380953,0.9996371882086168,1,0,0.5,105,104
iter44_cv_split5,1.0,1.0,0,0,0.5,26,26,0.9904761904761905,0.9989115646258503,2,0,0.5,105,103
iter45_cv_split1,0.9814814814814815,0.9725651577503428,1,0,0.5,27,26,0.9951923076923077,0.9987056213017751,1,0,0.5,104,103
iter45_cv_split2,0.9423076923076923,1.0,3,0,0.5,26,23,0.9904761904761905,0.999092970521542,2,0,0.5,105,103
iter45_cv_split3,0.9423076923076923,0.9837278106508875,3,0,0.5,26,23,0.9952380952380953,0.9992743764172335,1,0,0.5,105,104
iter45_cv_split4,0.9423076923076923,0.9970414201183432,3,0,0.5,26,23,0.9904761904761905,0.9992743764172336,2,0,0.5,105,103
iter45_cv_split5,0.9807692307692307,0.9970414201183432,1,0,0.5,26,25,0.9904761904761905,0.9992743764172335,2,0,0.5,105,103
iter46_cv_split1,0.9259259259259259,1.0,4,0,0.5,27,23,0.9903846153846154,0.9987056213017752,2,0,0.5,104,102
iter46_cv_split2,0.9230769230769231,0.9955621301775148,1,3,0.5,23,25,0.9761904761904762,0.9993650793650793,2,3,0.5,102,103
iter46_cv_split3,0.9230769230769231,0.985207100591716,4,0,0.5,26,22,0.9952380952380953,0.9991836734693876,1,0,0.5,105,104
iter46_cv_split4,0.9807692307692307,0.9970414201183433,1,0,0.5,26,25,0.9904761904761905,0.9992743764172335,2,0,0.5,105,103
iter46_cv_split5,0.9423076923076923,0.9615384615384616,3,0,0.5,26,23,0.9952380952380953,0.9992743764172336,1,0,0.5,105,104
iter47_cv_split1,0.9259259259259259,0.9958847736625515,4,0,0.5,27,23,0.9951923076923077,0.9993528106508875,1,0,0.5,104,103
iter47_cv_split2,0.9423076923076923,1.0,3,0,0.5,26,23,0.9904761904761905,0.9994557823129252,2,0,0.5,105,103
iter47_cv_split3,0.9807692307692307,0.9985207100591716,1,0,0.5,26,25,0.9904761904761905,0.9990929705215419,2,0,0.5,105,103
iter47_cv_split4,0.8653846153846154,0.9600591715976331,3,4,0.5,22,23,0.9809523809523809,0.9992743764172336,2,2,0.5,103,103
iter47_cv_split5,0.9615384615384616,0.9644970414201184,2,0,0.5,26,24,0.9952380952380953,0.9991836734693877,1,0,0.5,105,104
iter48_cv_split1,0.9259259259259259,0.9382716049382716,4,0,0.5,27,23,1.0,1.0,0,0,0.5,104,104
iter48_cv_split2,0.9423076923076923,0.9866863905325444,3,0,0.5,26,23,0.9904761904761905,0.9995464852607711,2,0,0.5,105,103
iter48_cv_split3,0.9423076923076923,1.0,3,0,0.5,26,23,0.9904761904761905,0.999092970521542,2,0,0.5,105,103
iter48_cv_split4,1.0,1.0,0,0,0.5,26,26,0.9904761904761905,1.0,2,0,0.5,105,103
iter48_cv_split5,0.9807692307692307,0.9970414201183433,1,0,0.5,26,25,0.9904761904761905,0.9992743764172336,2,0,0.5,105,103
iter49_cv_split1,0.9444444444444444,0.9794238683127571,3,0,0.5,27,24,0.9951923076923077,0.9990754437869822,1,0,0.5,104,103
iter49_cv_split2,0.9807692307692307,0.9615384615384616,1,0,0.5,26,25,0.9952380952380953,0.9995464852607711,1,0,0.5,105,104
iter49_cv_split3,0.9230769230769231,0.9201183431952663,1,3,0.5,23,25,0.9904761904761905,0.999092970521542,2,0,0.5,105,103
iter49_cv_split4,0.9423076923076923,0.9763313609467456,3,0,0.5,26,23,0.9904761904761905,0.9992743764172335,2,0,0.5,105,103
iter49_cv_split5,0.9423076923076923,0.9940828402366864,3,0,0.5,26,23,0.9904761904761905,1.0,2,0,0.5,105,103
iter50_cv_split1,1.0,0.9999999999999999,0,0,0.5,27,27,0.9903846153846154,1.0,2,0,0.5,104,102
iter50_cv_split2,0.9230769230769231,1.0,4,0,0.5,26,22,0.9904761904761905,0.9994557823129252,2,0,0.5,105,103
iter50_cv_split3,0.9423076923076923,0.9733727810650888,3,0,0.5,26,23,0.9952380952380953,0.999546485260771,1,0,0.5,105,104
iter50_cv_split4,0.9230769230769231,0.9644970414201184,4,0,0.5,26,22,0.9952380952380953,0.999546485260771,1,0,0.5,105,104
iter50_cv_split5,0.9807692307692307,1.0,1,0,0.5,26,25,0.9904761904761905,0.9990929705215419,2,0,0.5,105,103
iter51_cv_split1,0.8518518518518519,0.9135802469135802,3,5,0.5,22,24,0.9903846153846154,0.9996301775147929,1,1,0.5,103,103
