,full_test_accs,full_test_aucs,full_test_fns,full_test_fps,full_test_null_accs,full_test_tns,full_test_tps,full_train_accs,full_train_aucs,full_train_fns,full_train_fps,full_train_null_accs,full_train_tns,full_train_tps
iter61_cv_split1,0.85,1.0,3,0,0.5,10,7,1.0,1.0,0,0,0.5,39,39
iter61_cv_split2,0.95,0.9,0,1,0.5,9,10,1.0,0.9999999999999999,0,0,0.5,39,39
iter61_cv_split3,0.9,0.9800000000000001,2,0,0.5,10,8,1.0,1.0,0,0,0.5,39,39
iter61_cv_split4,0.9,0.9700000000000001,2,0,0.5,10,8,1.0,1.0,0,0,0.5,39,39
iter61_cv_split5,1.0,1.0,0,0,0.5,9,9,1.0,1.0,0,0,0.5,40,40
iter62_cv_split1,0.95,1.0,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter62_cv_split2,0.75,0.59,0,5,0.5,5,10,1.0,1.0,0,0,0.5,39,39
iter62_cv_split3,0.95,1.0,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter62_cv_split4,0.85,0.95,3,0,0.5,10,7,1.0,1.0,0,0,0.5,39,39
iter62_cv_split5,0.8333333333333334,1.0,3,0,0.5,9,6,1.0,1.0,0,0,0.5,40,40
iter63_cv_split1,0.7,0.87,5,1,0.5,9,5,1.0,1.0,0,0,0.5,39,39
iter63_cv_split2,0.8,1.0,4,0,0.5,10,6,1.0,1.0,0,0,0.5,39,39
iter63_cv_split3,0.8,0.97,3,1,0.5,9,7,0.9871794871794872,1.0,0,1,0.5,38,39
iter63_cv_split4,0.95,1.0,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter63_cv_split5,0.8888888888888888,0.9876543209876543,1,1,0.5,8,8,0.9875,1.0,0,1,0.5,39,40
iter64_cv_split1,0.95,1.0,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter64_cv_split2,0.95,0.99,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter64_cv_split3,0.8,0.97,4,0,0.5,10,6,1.0,1.0,0,0,0.5,39,39
iter64_cv_split4,0.75,1.0,5,0,0.5,10,5,1.0,1.0,0,0,0.5,39,39
iter64_cv_split5,0.7222222222222222,0.9135802469135802,4,1,0.5,8,5,1.0,0.9999999999999999,0,0,0.5,40,40
iter65_cv_split1,0.75,0.8300000000000001,2,3,0.5,7,8,0.9871794871794872,0.9999999999999999,0,1,0.5,38,39
iter65_cv_split2,0.85,1.0,3,0,0.5,10,7,1.0,1.0,0,0,0.5,39,39
iter65_cv_split3,0.75,0.9600000000000001,4,1,0.5,9,6,0.9871794871794872,1.0,0,1,0.5,38,39
iter65_cv_split4,0.9,1.0,2,0,0.5,10,8,1.0,1.0,0,0,0.5,39,39
iter65_cv_split5,0.8333333333333334,1.0,3,0,0.5,9,6,1.0,1.0,0,0,0.5,40,40
iter66_cv_split1,0.8,1.0,4,0,0.5,10,6,1.0,0.9999999999999999,0,0,0.5,39,39
iter66_cv_split2,0.85,0.97,3,0,0.5,10,7,1.0,1.0,0,0,0.5,39,39
iter66_cv_split3,0.95,0.91,0,1,0.5,9,10,1.0,1.0,0,0,0.5,39,39
iter66_cv_split4,0.9,1.0,2,0,0.5,10,8,1.0,1.0,0,0,0.5,39,39
iter66_cv_split5,0.9444444444444444,1.0,0,1,0.5,8,9,0.9875,1.0,0,1,0.5,39,40
iter67_cv_split1,0.7,0.8700000000000001,5,1,0.5,9,5,1.0,1.0,0,0,0.5,39,39
iter67_cv_split2,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter67_cv_split3,0.7,0.9200000000000002,2,4,0.5,6,8,0.9871794871794872,1.0,0,1,0.5,38,39
iter67_cv_split4,0.9,1.0,2,0,0.5,10,8,1.0,1.0,0,0,0.5,39,39
iter67_cv_split5,0.8333333333333334,0.8518518518518519,1,2,0.5,7,8,1.0,1.0,0,0,0.5,40,40
iter68_cv_split1,0.9,0.9600000000000001,2,0,0.5,10,8,1.0,0.9999999999999999,0,0,0.5,39,39
iter68_cv_split2,0.85,0.9,2,1,0.5,9,8,1.0,1.0,0,0,0.5,39,39
iter68_cv_split3,0.85,1.0,3,0,0.5,10,7,1.0,1.0,0,0,0.5,39,39
iter68_cv_split4,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter68_cv_split5,0.7777777777777778,1.0,4,0,0.5,9,5,1.0,1.0,0,0,0.5,40,40
iter69_cv_split1,0.85,0.98,3,0,0.5,10,7,1.0,1.0,0,0,0.5,39,39
iter69_cv_split2,0.95,1.0,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter69_cv_split3,0.75,0.88,4,1,0.5,9,6,1.0,1.0,0,0,0.5,39,39
iter69_cv_split4,0.95,1.0,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter69_cv_split5,0.8333333333333334,1.0,3,0,0.5,9,6,1.0,1.0,0,0,0.5,40,40
iter70_cv_split1,0.95,1.0,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter70_cv_split2,0.85,0.91,1,2,0.5,8,9,0.9871794871794872,1.0,0,1,0.5,38,39
iter70_cv_split3,0.95,1.0,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter70_cv_split4,0.8,0.99,4,0,0.5,10,6,1.0,1.0,0,0,0.5,39,39
iter70_cv_split5,0.9444444444444444,0.962962962962963,1,0,0.5,9,8,1.0,1.0,0,0,0.5,40,40
iter71_cv_split1,0.9,0.9400000000000001,2,0,0.5,10,8,1.0,1.0,0,0,0.5,39,39
iter71_cv_split2,0.8,0.84,2,2,0.5,8,8,1.0,1.0,0,0,0.5,39,39
iter71_cv_split3,0.9,1.0,2,0,0.5,10,8,1.0,1.0,0,0,0.5,39,39
iter71_cv_split4,0.8,1.0,4,0,0.5,10,6,1.0,1.0,0,0,0.5,39,39
iter71_cv_split5,0.8888888888888888,0.9012345679012346,1,1,0.5,8,8,1.0,1.0,0,0,0.5,40,40
iter72_cv_split1,0.7,0.91,5,1,0.5,9,5,1.0,1.0,0,0,0.5,39,39
iter72_cv_split2,0.85,1.0,3,0,0.5,10,7,1.0,1.0,0,0,0.5,39,39
iter72_cv_split3,0.85,1.0,3,0,0.5,10,7,1.0,0.9999999999999999,0,0,0.5,39,39
iter72_cv_split4,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter72_cv_split5,0.9444444444444444,1.0,0,1,0.5,8,9,0.9875,1.0,0,1,0.5,39,40
iter73_cv_split1,0.9,1.0,2,0,0.5,10,8,1.0,1.0,0,0,0.5,39,39
iter73_cv_split2,0.9,1.0,2,0,0.5,10,8,1.0,1.0,0,0,0.5,39,39
iter73_cv_split3,0.85,0.84,1,2,0.5,8,9,1.0,1.0,0,0,0.5,39,39
iter73_cv_split4,0.9,0.9,1,1,0.5,9,9,1.0,1.0,0,0,0.5,39,39
iter73_cv_split5,0.8333333333333334,1.0,3,0,0.5,9,6,1.0,1.0,0,0,0.5,40,40
iter74_cv_split1,0.85,0.99,3,0,0.5,10,7,1.0,1.0,0,0,0.5,39,39
iter74_cv_split2,0.85,0.99,3,0,0.5,10,7,1.0,1.0,0,0,0.5,39,39
iter74_cv_split3,0.75,1.0,5,0,0.5,10,5,1.0,1.0,0,0,0.5,39,39
iter74_cv_split4,0.95,0.91,0,1,0.5,9,10,1.0,1.0,0,0,0.5,39,39
iter74_cv_split5,0.9444444444444444,1.0,1,0,0.5,9,8,1.0,1.0,0,0,0.5,40,40
iter75_cv_split1,0.9,0.9,1,1,0.5,9,9,1.0,1.0,0,0,0.5,39,39
iter75_cv_split2,0.85,0.98,2,1,0.5,9,8,0.9871794871794872,1.0,0,1,0.5,38,39
iter75_cv_split3,0.85,0.99,3,0,0.5,10,7,1.0,1.0,0,0,0.5,39,39
iter75_cv_split4,0.7,0.9500000000000001,5,1,0.5,9,5,0.9871794871794872,1.0,0,1,0.5,38,39
iter75_cv_split5,0.8333333333333334,1.0,3,0,0.5,9,6,1.0,1.0,0,0,0.5,40,40
iter76_cv_split1,0.8,0.76,1,3,0.5,7,9,1.0,0.9999999999999999,0,0,0.5,39,39
iter76_cv_split2,0.9,0.9800000000000001,2,0,0.5,10,8,1.0,1.0,0,0,0.5,39,39
iter76_cv_split3,0.8,1.0,4,0,0.5,10,6,1.0,1.0,0,0,0.5,39,39
iter76_cv_split4,0.8,0.93,3,1,0.5,9,7,1.0,1.0,0,0,0.5,39,39
iter76_cv_split5,0.8333333333333334,0.888888888888889,2,1,0.5,8,7,1.0,1.0,0,0,0.5,40,40
iter77_cv_split1,0.8,1.0,4,0,0.5,10,6,1.0,1.0,0,0,0.5,39,39
iter77_cv_split2,0.75,0.96,4,1,0.5,9,6,0.9871794871794872,1.0,0,1,0.5,38,39
iter77_cv_split3,0.8,0.8800000000000001,2,2,0.5,8,8,0.9871794871794872,0.9999999999999999,0,1,0.5,38,39
iter77_cv_split4,0.8,0.9700000000000001,3,1,0.5,9,7,1.0,1.0,0,0,0.5,39,39
iter77_cv_split5,0.9444444444444444,1.0,1,0,0.5,9,8,1.0,1.0,0,0,0.5,40,40
iter78_cv_split1,0.9,0.9,1,1,0.5,9,9,1.0,1.0,0,0,0.5,39,39
iter78_cv_split2,0.8,1.0,4,0,0.5,10,6,1.0,1.0,0,0,0.5,39,39
iter78_cv_split3,0.8,1.0,4,0,0.5,10,6,1.0,1.0,0,0,0.5,39,39
iter78_cv_split4,0.9,0.93,2,0,0.5,10,8,1.0,1.0,0,0,0.5,39,39
iter78_cv_split5,0.8888888888888888,0.9753086419753088,1,1,0.5,8,8,0.9875,1.0,0,1,0.5,39,40
iter79_cv_split1,0.85,0.99,3,0,0.5,10,7,1.0,1.0,0,0,0.5,39,39
iter79_cv_split2,0.95,1.0,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter79_cv_split3,0.9,1.0,2,0,0.5,10,8,1.0,1.0,0,0,0.5,39,39
iter79_cv_split4,0.9,0.91,1,1,0.5,9,9,1.0,1.0,0,0,0.5,39,39
iter79_cv_split5,0.8333333333333334,0.9753086419753085,2,1,0.5,8,7,0.9875,1.0,0,1,0.5,39,40
iter80_cv_split1,0.95,1.0,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter80_cv_split2,0.75,0.88,4,1,0.5,9,6,1.0,1.0,0,0,0.5,39,39
iter80_cv_split3,0.75,0.88,3,2,0.5,8,7,1.0,1.0,0,0,0.5,39,39
iter80_cv_split4,0.8,1.0,4,0,0.5,10,6,1.0,1.0,0,0,0.5,39,39
iter80_cv_split5,0.9444444444444444,0.9753086419753088,1,0,0.5,9,8,1.0,1.0,0,0,0.5,40,40
iter81_cv_split1,0.9,0.98,1,1,0.5,9,9,1.0,1.0,0,0,0.5,39,39
iter81_cv_split2,0.75,0.9,3,2,0.5,8,7,1.0,1.0,0,0,0.5,39,39
iter81_cv_split3,0.85,0.8600000000000001,2,1,0.5,9,8,1.0,1.0,0,0,0.5,39,39
iter81_cv_split4,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter81_cv_split5,0.8333333333333334,1.0,3,0,0.5,9,6,1.0,1.0,0,0,0.5,40,40
iter82_cv_split1,0.8,0.96,4,0,0.5,10,6,1.0,1.0,0,0,0.5,39,39
iter82_cv_split2,0.8,0.94,2,2,0.5,8,8,0.9871794871794872,1.0,0,1,0.5,38,39
iter82_cv_split3,0.9,1.0,2,0,0.5,10,8,1.0,1.0,0,0,0.5,39,39
iter82_cv_split4,0.95,1.0,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter82_cv_split5,0.8333333333333334,0.9012345679012346,2,1,0.5,8,7,1.0,1.0,0,0,0.5,40,40
iter83_cv_split1,0.9,1.0,2,0,0.5,10,8,1.0,1.0,0,0,0.5,39,39
iter83_cv_split2,0.95,1.0,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter83_cv_split3,0.85,1.0,3,0,0.5,10,7,1.0,1.0,0,0,0.5,39,39
iter83_cv_split4,0.85,0.9900000000000001,3,0,0.5,10,7,1.0,0.9999999999999999,0,0,0.5,39,39
iter83_cv_split5,0.7222222222222222,0.8641975308641976,3,2,0.5,7,6,0.9875,0.9999999999999999,0,1,0.5,39,40
iter84_cv_split1,0.8,0.96,3,1,0.5,9,7,0.9871794871794872,1.0,0,1,0.5,38,39
iter84_cv_split2,0.85,0.9199999999999999,2,1,0.5,9,8,1.0,1.0,0,0,0.5,39,39
iter84_cv_split3,0.85,0.95,1,2,0.5,8,9,1.0,1.0,0,0,0.5,39,39
iter84_cv_split4,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter84_cv_split5,0.9444444444444444,0.962962962962963,1,0,0.5,9,8,1.0,1.0,0,0,0.5,40,40
iter85_cv_split1,0.8,1.0,4,0,0.5,10,6,1.0,1.0,0,0,0.5,39,39
iter85_cv_split2,0.95,0.9,0,1,0.5,9,10,1.0,1.0,0,0,0.5,39,39
iter85_cv_split3,0.95,1.0,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter85_cv_split4,0.85,0.9600000000000001,3,0,0.5,10,7,1.0,1.0,0,0,0.5,39,39
iter85_cv_split5,0.8333333333333334,1.0,3,0,0.5,9,6,1.0,1.0,0,0,0.5,40,40
iter86_cv_split1,0.8,0.99,4,0,0.5,10,6,1.0,1.0,0,0,0.5,39,39
iter86_cv_split2,0.9,1.0,2,0,0.5,10,8,0.9871794871794872,0.9999999999999999,1,0,0.5,39,38
iter86_cv_split3,0.8,0.97,3,1,0.5,9,7,1.0,1.0,0,0,0.5,39,39
iter86_cv_split4,0.9,1.0,2,0,0.5,10,8,1.0,0.9999999999999999,0,0,0.5,39,39
iter86_cv_split5,0.8333333333333334,0.9135802469135802,2,1,0.5,8,7,1.0,0.9999999999999999,0,0,0.5,40,40
iter87_cv_split1,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter87_cv_split2,0.8,0.8999999999999999,3,1,0.5,9,7,1.0,1.0,0,0,0.5,39,39
iter87_cv_split3,0.9,0.99,1,1,0.5,9,9,1.0,1.0,0,0,0.5,39,39
iter87_cv_split4,0.7,0.87,4,2,0.5,8,6,1.0,1.0,0,0,0.5,39,39
iter87_cv_split5,0.7777777777777778,1.0,4,0,0.5,9,5,1.0,1.0,0,0,0.5,40,40
iter88_cv_split1,0.8,0.97,3,1,0.5,9,7,0.9871794871794872,1.0,0,1,0.5,38,39
iter88_cv_split2,0.8,1.0,4,0,0.5,10,6,1.0,1.0,0,0,0.5,39,39
iter88_cv_split3,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter88_cv_split4,0.95,0.9,0,1,0.5,9,10,1.0,1.0,0,0,0.5,39,39
iter88_cv_split5,0.8888888888888888,1.0,2,0,0.5,9,7,1.0,1.0,0,0,0.5,40,40
iter89_cv_split1,0.8,0.97,3,1,0.5,9,7,0.9871794871794872,1.0,0,1,0.5,38,39
iter89_cv_split2,0.95,1.0,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter89_cv_split3,0.9,1.0,2,0,0.5,10,8,1.0,1.0,0,0,0.5,39,39
iter89_cv_split4,0.8,0.91,3,1,0.5,9,7,1.0,1.0,0,0,0.5,39,39
iter89_cv_split5,0.8888888888888888,0.9876543209876543,1,1,0.5,8,8,0.9875,1.0,0,1,0.5,39,40
iter90_cv_split1,0.85,1.0,3,0,0.5,10,7,1.0,1.0,0,0,0.5,39,39
iter90_cv_split2,0.75,1.0,5,0,0.5,10,5,1.0,1.0,0,0,0.5,39,39
iter90_cv_split3,0.95,1.0,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter90_cv_split4,0.8,0.9700000000000001,3,1,0.5,9,7,0.9871794871794872,1.0,0,1,0.5,38,39
iter90_cv_split5,0.8888888888888888,0.8765432098765432,1,1,0.5,8,8,1.0,1.0,0,0,0.5,40,40
iter91_cv_split1,0.95,0.99,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter91_cv_split2,0.7,0.92,2,4,0.5,6,8,0.9871794871794872,1.0,0,1,0.5,38,39
iter91_cv_split3,0.95,1.0,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter91_cv_split4,0.9,0.9199999999999999,1,1,0.5,9,9,1.0,1.0,0,0,0.5,39,39
iter91_cv_split5,0.7777777777777778,0.9629629629629629,4,0,0.5,9,5,1.0,1.0,0,0,0.5,40,40
iter92_cv_split1,0.9,0.99,1,1,0.5,9,9,1.0,1.0,0,0,0.5,39,39
iter92_cv_split2,0.8,1.0,4,0,0.5,10,6,1.0,1.0,0,0,0.5,39,39
iter92_cv_split3,0.95,1.0,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter92_cv_split4,0.95,1.0,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter92_cv_split5,0.8888888888888888,0.9012345679012346,1,1,0.5,8,8,1.0,1.0,0,0,0.5,40,40
iter93_cv_split1,0.9,0.99,2,0,0.5,10,8,1.0,1.0,0,0,0.5,39,39
iter93_cv_split2,0.65,0.81,4,3,0.5,7,6,1.0,1.0,0,0,0.5,39,39
iter93_cv_split3,0.85,1.0,3,0,0.5,10,7,1.0,1.0,0,0,0.5,39,39
iter93_cv_split4,0.85,0.9400000000000001,2,1,0.5,9,8,0.9871794871794872,1.0,0,1,0.5,38,39
iter93_cv_split5,0.8333333333333334,1.0,3,0,0.5,9,6,0.9875,1.0,1,0,0.5,40,39
iter94_cv_split1,0.85,0.86,1,2,0.5,8,9,1.0,1.0,0,0,0.5,39,39
iter94_cv_split2,0.85,1.0,3,0,0.5,10,7,1.0,0.9999999999999999,0,0,0.5,39,39
iter94_cv_split3,0.95,0.9,0,1,0.5,9,10,1.0,1.0,0,0,0.5,39,39
iter94_cv_split4,0.95,0.98,1,0,0.5,10,9,1.0,0.9999999999999999,0,0,0.5,39,39
iter94_cv_split5,0.8888888888888888,1.0,2,0,0.5,9,7,1.0,1.0,0,0,0.5,40,40
iter95_cv_split1,0.8,0.9600000000000001,2,2,0.5,8,8,0.9871794871794872,1.0,0,1,0.5,38,39
iter95_cv_split2,0.8,0.92,4,0,0.5,10,6,1.0,1.0,0,0,0.5,39,39
iter95_cv_split3,0.95,1.0,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter95_cv_split4,0.85,0.89,2,1,0.5,9,8,1.0,1.0,0,0,0.5,39,39
iter95_cv_split5,0.9444444444444444,1.0,1,0,0.5,9,8,1.0,1.0,0,0,0.5,40,40
iter96_cv_split1,0.9,1.0,2,0,0.5,10,8,1.0,1.0,0,0,0.5,39,39
iter96_cv_split2,0.8,0.98,4,0,0.5,10,6,1.0,1.0,0,0,0.5,39,39
iter96_cv_split3,0.95,1.0,1,0,0.5,10,9,1.0,1.0,0,0,0.5,39,39
iter96_cv_split4,0.85,0.99,3,0,0.5,10,7,1.0,1.0,0,0,0.5,39,39
iter96_cv_split5,0.8888888888888888,0.9012345679012346,1,1,0.5,8,8,1.0,1.0,0,0,0.5,40,40
iter97_cv_split1,0.8,0.84,2,2,0.5,8,8,1.0,1.0,0,0,0.5,39,39
iter97_cv_split2,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter97_cv_split3,0.7,1.0,6,0,0.5,10,4,1.0,1.0,0,0,0.5,39,39
iter97_cv_split4,1.0,1.0,0,0,0.5,10,10,1.0,1.0,0,0,0.5,39,39
iter97_cv_split5,0.8888888888888888,0.9012345679012346,1,1,0.5,8,8,1.0,1.0,0,0,0.5,40,40
