,full_test_accs,full_test_null_accs,full_train_accs,full_train_null_accs,test_true_c0_pred_c0,test_true_c0_pred_c1,test_true_c0_pred_c2,test_true_c1_pred_c0,test_true_c1_pred_c1,test_true_c1_pred_c2,test_true_c2_pred_c0,test_true_c2_pred_c1,test_true_c2_pred_c2,train_true_c0_pred_c0,train_true_c0_pred_c1,train_true_c0_pred_c2,train_true_c1_pred_c0,train_true_c1_pred_c1,train_true_c1_pred_c2,train_true_c2_pred_c0,train_true_c2_pred_c1,train_true_c2_pred_c2
iter35_cv_split1,0.6741573033707865,0.6404494382022472,0.8717948717948718,0.6467236467236467,0,5,0,0,49,8,0,16,11,18,2,0,1,208,18,1,23,80
iter35_cv_split2,0.5568181818181818,0.6477272727272727,0.875,0.6448863636363636,0,4,1,1,44,12,2,19,5,19,1,0,0,208,19,0,24,81
iter35_cv_split3,0.625,0.6477272727272727,0.875,0.6448863636363636,0,3,2,1,41,15,0,12,14,18,2,0,1,209,17,2,22,81
iter35_cv_split4,0.6136363636363636,0.6477272727272727,0.90625,0.6448863636363636,0,5,0,0,42,15,0,14,12,17,1,2,0,212,15,1,14,90
iter35_cv_split5,0.6436781609195402,0.6436781609195402,0.8951841359773371,0.6458923512747875,1,2,2,0,47,9,0,18,8,17,3,0,0,215,13,1,20,84
iter36_cv_split1,0.6292134831460674,0.6404494382022472,0.8746438746438746,0.6467236467236467,1,2,2,0,47,10,0,19,8,18,2,0,0,210,17,2,23,79
iter36_cv_split2,0.6590909090909091,0.6477272727272727,0.875,0.6448863636363636,1,3,1,0,48,9,0,17,9,17,2,1,0,210,17,0,24,81
iter36_cv_split3,0.6590909090909091,0.6477272727272727,0.8721590909090909,0.6448863636363636,0,4,1,0,46,11,1,13,12,17,3,0,2,209,16,1,23,81
iter36_cv_split4,0.6590909090909091,0.6477272727272727,0.8806818181818182,0.6448863636363636,0,3,2,1,48,8,0,16,10,18,1,1,1,208,18,2,19,84
iter36_cv_split5,0.632183908045977,0.6436781609195402,0.8781869688385269,0.6458923512747875,0,4,1,0,47,9,1,17,8,18,2,0,0,206,22,0,19,86
