,full_test_accs,full_test_aucs,full_test_fns,full_test_fps,full_test_null_accs,full_test_tns,full_test_tps,full_train_accs,full_train_aucs,full_train_fns,full_train_fps,full_train_null_accs,full_train_tns,full_train_tps
iter31_cv_split4,0.9864864864864865,0.9864864864864865,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter31_cv_split5,1.0,1.0,0,0,0.5,36,36,1.0,1.0,0,0,0.5,148,148
iter32_cv_split1,0.972972972972973,0.972972972972973,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter32_cv_split2,1.0,1.0,0,0,0.5,37,37,1.0,1.0,0,0,0.5,147,147
iter32_cv_split3,0.9594594594594594,0.9594594594594594,3,0,0.5,37,34,1.0,1.0,0,0,0.5,147,147
iter32_cv_split4,0.9864864864864865,0.9864864864864865,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter32_cv_split5,1.0,1.0,0,0,0.5,36,36,1.0,1.0,0,0,0.5,148,148
iter33_cv_split1,0.9594594594594594,0.9594594594594594,3,0,0.5,37,34,1.0,1.0,0,0,0.5,147,147
iter33_cv_split2,0.9864864864864865,0.9864864864864865,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter33_cv_split3,1.0,1.0,0,0,0.5,37,37,1.0,1.0,0,0,0.5,147,147
iter33_cv_split4,0.9054054054054054,0.9054054054054055,2,5,0.5,32,35,1.0,1.0,0,0,0.5,147,147
iter33_cv_split5,1.0,1.0,0,0,0.5,36,36,1.0,1.0,0,0,0.5,148,148
iter34_cv_split1,0.9459459459459459,0.9459459459459459,4,0,0.5,37,33,1.0,1.0,0,0,0.5,147,147
iter34_cv_split2,0.9864864864864865,0.9864864864864865,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter34_cv_split3,0.9594594594594594,0.9594594594594594,3,0,0.5,37,34,1.0,1.0,0,0,0.5,147,147
iter34_cv_split4,0.9864864864864865,0.9864864864864865,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter34_cv_split5,0.9861111111111112,0.9861111111111112,1,0,0.5,36,35,1.0,1.0,0,0,0.5,148,148
iter35_cv_split1,1.0,1.0,0,0,0.5,37,37,1.0,1.0,0,0,0.5,147,147
iter35_cv_split2,0.9594594594594594,0.9594594594594594,3,0,0.5,37,34,1.0,1.0,0,0,0.5,147,147
iter35_cv_split3,0.9864864864864865,0.9864864864864865,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter35_cv_split4,0.918918918918919,0.9189189189189189,3,3,0.5,34,34,1.0,1.0,0,0,0.5,147,147
iter35_cv_split5,0.9861111111111112,0.9861111111111112,1,0,0.5,36,35,1.0,1.0,0,0,0.5,148,148
iter36_cv_split1,1.0,1.0,0,0,0.5,37,37,1.0,1.0,0,0,0.5,147,147
iter36_cv_split2,1.0,1.0,0,0,0.5,37,37,1.0,1.0,0,0,0.5,147,147
iter36_cv_split3,0.972972972972973,0.972972972972973,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter36_cv_split4,0.9864864864864865,0.9864864864864865,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter36_cv_split5,0.9861111111111112,0.9861111111111112,1,0,0.5,36,35,1.0,1.0,0,0,0.5,148,148
iter37_cv_split1,1.0,1.0,0,0,0.5,37,37,1.0,1.0,0,0,0.5,147,147
iter37_cv_split2,0.9864864864864865,0.9864864864864865,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter37_cv_split3,0.972972972972973,0.972972972972973,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter37_cv_split4,0.972972972972973,0.972972972972973,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter37_cv_split5,0.9722222222222222,0.9722222222222222,2,0,0.5,36,34,1.0,1.0,0,0,0.5,148,148
iter38_cv_split1,0.9864864864864865,0.9864864864864865,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter38_cv_split2,1.0,1.0,0,0,0.5,37,37,1.0,1.0,0,0,0.5,147,147
iter38_cv_split3,0.972972972972973,0.972972972972973,2,0,0.5,37,35,1.0,1.0,0,0,0.5,147,147
iter38_cv_split4,0.9864864864864865,0.9864864864864865,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
iter38_cv_split5,0.9722222222222222,0.9722222222222222,2,0,0.5,36,34,1.0,1.0,0,0,0.5,148,148
iter39_cv_split1,0.9864864864864865,0.9864864864864865,1,0,0.5,37,36,1.0,1.0,0,0,0.5,147,147
